"","justice","civlibs","ideology_score"
"2",78,0.738878143133462,0.875
"3",79,0.428571428571429,0.725
"4",80,0.658536585365854,0.665
"5",81,0.904977375565611,0.73
"6",82,0.833333333333333,1
"8",84,0.5,1
"9",85,0.75,1
"10",86,0.515527950310559,0.28
"11",87,0.439024390243902,0.75
"12",88,0.598187311178248,0.5
"13",89,0.447058823529412,0.72
"14",90,0.842696629213483,0.75
"15",91,0.45771144278607,0.875
"16",92,0.835564053537285,1
"17",93,0.582278481012658,0.5
"18",94,0.523872679045093,0.75
"19",95,0.554170661553212,0.5
"20",96,0.953271028037383,0.75
"21",97,0.845360824742268,1
"22",98,0.847798742138365,1
"23",99,0.384375,0.115
"24",100,0.584269662921348,0.115
"25",101,0.394785847299814,0.165
"26",102,0.24465811965812,0.045
"27",103,0.623543123543124,0.25
"28",104,0.378892733564014,0.415
"29",105,0.255395683453237,0
"30",106,0.36468330134357,0.365
"31",107,0.561497326203209,0.325
"32",108,0.205250596658711,0.16
"33",109,0.595854922279793,0.68
"34",110,0.62536023054755,0.475
"35",111,0.372549019607843,0.12
"36",112,0.335570469798658,0.1
"37",113,0.648351648351648,0.78
"38",114,0.642857142857143,0.73
